"bfs","bfsprev","chain","chainprev","category"
"1","1","1","1","Solvable using any technique"
"1","0","0","0","Only solvable using BFS no PREV"
"0","1","0","0","Only solvable using BFS-PREV"
"0","0","1","0","Only solvable using Chain no PREV"
"0","0","0","1","Only solvable using Chain-PREV"
"1","1","0","0","Only solvable using BFS"
"0","0","1","1","Only solvable using Chain"
"1","0","1","0","Only solvable using no PREV"
"0","1","0","1","Only solvable using PREV"
"1","0","0","1","Only solvable using BFS no PREV or Chain-PREV"
"0","1","1","0","Only solvable using BFS-PREV or Chain no PREV"
"0","1","1","1","Not solvable using BFS no PREV"
"1","0","1","1","Not solvable using BFS-PREV"
"1","1","0","1","Not solvable using Chain no PREV"
"1","1","1","0","Not solvable using Chain-PREV"
"0","0","0","0","Unsolvable"